Title,Release Date,Language,Vote Average,Popularity
141,11-09-2015,Kannada,5,0.0495
Wind Seed,01-01-2015,Kannada,0,0.0143
Rathaavara,04-12-2015,Kannada,5,0.0143
The Plan,27-11-2015,Kannada,6,0.0143
Plus,16-10-2015,Kannada,5,0.0143
Please Turn Over,29-07-2016,Kannada,0,0.4494
Kirik Party,30-12-2016,Kannada,7.7,0.5386
Doddmane Hudga,30-09-2016,Kannada,5.8,0.3672
U Turn,20-05-2016,Kannada,6.78,0.4746
Kotigobba 2,12-08-2016,Kannada,6.7,0.3031
Shivalinga,14-04-2016,Kannada,6.1,0.2846
Godhi Banna Sadharana Mykattu,03-06-2016,Kannada,8.3,0.222
Zoom,01-07-2016,Kannada,8.5,0.2388
Kalpana 2,15-07-2016,Kannada,8,0.2442
John Jani Janardhan,09-12-2016,Kannada,0,2.0472
Killing Veerappan,27-05-2016,Kannada,7.3,0.2369
Santhu Straight Forward,28-10-2016,Kannada,4.8,0.3111
Chakravyuha,20-04-2016,Kannada,6.25,0.2307
Mukunda Murari,28-10-2016,Kannada,10,0.3412
Viraat,29-01-2016,Kannada,4.7,0.2033
Jai Maruthi 800,08-04-2016,Kannada,5.3,0.2536
Mandya Star,17-06-2016,Kannada,0,0.1589
Kiragoorina Gayyaligalu,11-03-2016,Kannada,8.5,0.182
Parapancha,15-01-2016,Kannada,6,0.1868
Mungaru Male 2,09-09-2016,Kannada,5,0.133
Run Antony,08-07-2016,Kannada,0,0.1255
Akira,06-05-2016,Kannada,6.2,0.1924
Neer Dose,02-09-2016,Kannada,3.5,0.1446
Rama Rama Re,21-10-2016,Kannada,7.1,0.1484
...Re,04-03-2016,Kannada,6.7,0.1466
Badmaash,18-11-2016,Kannada,9,0.0952
Jigarthanda,24-06-2016,Kannada,6.5,0.1503
Jessie,25-03-2016,Kannada,0,0.1573
Naani,01-07-2016,Kannada,6,0.1199
Sipaayi,23-09-2016,Kannada,0,0.1012
Jaggu Dada,10-06-2016,Kannada,4.1,0.1839
Ishtakamya,13-05-2016,Kannada,6,0.3936
Naanu Mattu Varalakshmi,23-12-2016,Kannada,0,0.0873
Cinema My Darling,25-03-2016,Kannada,0,0.0832
Mummy Save Me,02-12-2016,Kannada,4,0.0742
Ricky,22-01-2016,Kannada,4.7,0.1313
Lakshmana,24-06-2016,Kannada,0,0.075
Idolle Ramayana,07-10-2016,Kannada,6.5,0.0885
Karva,27-05-2016,Kannada,5.5,0.0884
Dana Kayonu,07-10-2016,Kannada,7.5,0.0547
Chronicles of Hari,23-10-2016,Kannada,8,0.0472
Asthitva,19-08-2016,Kannada,0,0.0456
Maduveya Mamatheya Kareyole,08-01-2016,Kannada,0,0.1016
Nagarahavu,16-10-2016,Kannada,10,0.0429
Last Bus,15-01-2016,Kannada,3.5,0.0357
Bilindar,22-04-2016,Kannada,0,0.0239
Pilibail Yamunakka,09-12-2016,Kannada,10,0.0239
Railway Children,23-10-2016,Kannada,0,0.0357
Simpallag Innondh Love Story,11-03-2016,Kannada,6,0.0168
Prema Geema Jane Do,02-11-2016,Kannada,0,0.0243
Tharle Nan Maklu,15-01-2016,Kannada,0,0.0239
Bitter,04-11-2016,Kannada,6.2,0.0214
Raajakumara,24-03-2017,Kannada,6.8,0.436
Pushpaka Vimana,06-01-2017,Kannada,8.7,0.3213
Anjaniputra,21-12-2017,Kannada,6,0.3076
Dhairyam,21-12-2017,Kannada,6,0.2303
Maasthi Gudi,17-05-2017,Kannada,10,0.5424
Aake,30-06-2017,Kannada,6,0.256
Ayana,08-09-2017,Kannada,0,0.2512
Tora Tora,22-12-2017,Kannada,0,0.164
Mass Leader,11-08-2017,Kannada,3,0.2259
Bangara s/o Bangarada Manushya,19-05-2017,Kannada,7,0.1665
Upendra Matte Baa,07-11-2017,Kannada,0,0.161
Eradane Sala,03-03-2017,Kannada,4,0.2174
Kolara,07-07-2017,Kannada,10,0.2109
Pataki,26-05-2017,Kannada,4,0.2019
Hebbuli,23-02-2017,Kannada,5.6,0.3109
Manasu Malligey,31-03-2017,Kannada,0,0.1382
