Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Mandya,06-01-2006,Kannada,,,,A young and honest police officer comes to Hubli to put an end to the criminal activities. He finds it difficult to achieve his objective when he is confronted by a powerful family of,0,0.0261
Ekadanta,16-03-2007,Kannada,Vishnuvardhan,Prema,Gurukiran,Ekadhantha revolves around a couple and they don't have child.,0,0.4972
Milana,14-09-2007,Kannada,Puneeth Rajkumar,Pooja Gandhi,Mano Murthy,"Hero is in love with a girl who is forced to marry a police officer. Hero is later forced by his parents to marry a girl liked by them. Here starts the trouble again, even she wants a divorce from him. Will hero divorce her or they are happy with each other is the later part of the story",7.3,0.441
Anatharu,14-09-2007,Kannada,Upendra,Sanghavi,Sadhu Kokila,A 2007 Kannada film.,0,0.2727
Prarambha,08-09-2007,Kannada,Prabhu Deva,Anu Prabhakar,,"A truck driver helps a boy in his quest for finding his mother, and then helps get him reinstated in school, from which he had been dismissed for being HIV-positive.",0,0.2952
krishna,05-10-2007,Kannada,Ganesh,Pooja Gandhi,V. Harikrishna,A modern revision of the age-old Krishna-Rukmini-Satyabhama epic love story.,0,0.3424
Ee Preethi Yeke Bhoomi Melide,28-12-2007,Kannada,Prem,Mallika Sherawat,R. P. Patnaik,,0,0.2387
Aa Dinagalu,19-10-2007,Kannada,Chethan Kumar,Archana,Ilaiyaraaja,"Chetan loves Mallika but his father hires an underworld don, Kotwal, to break their relationship. Irked by his father's actions, Chetan approaches Kotwal's rival, Jayaraj, to defeat him.",7,0.5359
Soundarya,20-04-2007,Kannada,Ramesh Aravind,Shriya Sharma,Hamsalekha,"Soundarya film is the upper middle class family story who is an industrialist, his wife and daughter are dragged in the mafia land dealings.But he want to lead a peaceful life.mafia threaten the life.Finally, he involves in a criminal action innocently.",0,0.1968
Maathaad Maathaadu Mallige,24-08-2007,Kannada,Vishnuvardhan,Suhasini Maniratnam,,"How a villager Hoovaiah, takes on an MNC and corrupt politicians who try to misguide villagers to acquire a village for mining?",5.7,0.2325
Arasu,25-01-2007,Kannada,Puneeth Rajkumar,Divya Spandana,Joshua Sreedhar,"Shivaraj falls in love with his manager's daughter, Shruthi. However, she refuses his proposal and challenges him to first earn Rs 5000 without using any influence. Shruthi makes Shivaraj a better person, and they both fall in love. But Shruthi finds out that her best friend Aishwarya is also in love with Shivaraj so she gives up her love for her best friend. Later when Aishwarya learns about SHruthi too being in love with him, she feels guilty and backs off the relationship. Instead, Shivaraj comes up with a mind baffling situation and he sets up both the girls with two of his friends and he finds another girl for himself.",5,0.2821
Hudugaata,08-06-2007,Kannada,Ganesh,Rekha Vedavyas,Jassie Gift,"On a journey to Kanyakumari to interview a sports personality, reporter Balu Mahendar meets a wealthy girl who's in dire need of some help.",0,0.232
Duniya,23-02-2007,Kannada,Duniya Vijay,,Sadhu Kokila,"A poor manual labourer, Shivu, hopelessly tries to arrange money to carry out a funeral for his mother and rescues a girl from thugs along the way.",7,0.2742
