Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Champakali,01-01-2000,Hindi,,,Sawan Kumar Sawan,A kind beauty gets brutally assaulted by the bandit she is trying to protect her village from and decides to come back and bring him down for good.,0,0.0404
Maut Ki Raat,01-01-2000,Hindi,,,S. Prabhat,A 2000 Indian horror film.,0,0.0579
Rahasya,01-01-2000,Hindi,Pankaj Berry,,Uday Kamat,Murder is afoot in Mumbai,0,0.0416
Aakhir Kaun Thi Woh?,01-01-2000,Hindi,Raj Babbar,Sripradha,,"The film was shot and ready to release in 1990. Due to no distributor's willing to buy the the film , it was shelved for a decade. Finally the producer added a few odd scenes in the beginning and end of the film and changed the storyline. He also changed the title to make it look like a suspense horror film.",0,0.0338
Jai Bhavani,01-01-2000,Hindi,Anil Nagrath,Sapna Sappu,,"Film starring Rajni Chandra, Mohan Joshi and Shakti Kapoor",0,0.0338
Choo Lenge Akash,01-01-2000,Hindi,Pankaj Jha,,,"Sonu lives in a small village of Himachal Pradesh with her parents and grandmother. Her father works in Shimla. Intelligent & smart, she is the leader of her gang of friends, which include her neighbour Neelam, Ghanshyam the local grocers (Lalaji) son and Himanshu. Everyone in the village shows special concern towards her, though not in a manner that could embarrass or hurt her.",0,0.0256
Ronnie,01-04-2000,Hindi,,,,"Ronnie is a troubled teenager grappling with questions about his sexuality and secretly suppressing strong feelings for his best friend, Aziz. He knows he is different on the inside and constantly feels unsettled by the disgust his father expresses for his lifestyle. Left feeling incomplete, Ronnie constantly searches for love and attention. In this loneliness, Ronnie develops a tentative friendship with a reclusive fisherman, who is also grieving for his estranged son. The story explores how their unusual companionship encourages Ronnie to come out of the closet and helps the fisherman to make peace with his son.",0,0.0362
Aśoka,13-09-2001,Hindi,Shah Rukh Khan,Kareena Kapoor Khan,Sandeep Chowta,"A young Prince Asoka works to perfect his skills in battle and also deals with family conflict. During a struggle with one of his step-brothers, his mother urges Asoka to escape to stay alive. While away, Asoka meets Kaurwaki and falls in love, but must use his skills as a warrior to protect her. A dangerous and heartbreaking web of conspiracy follows, which leads Asoka to embrace a Buddhist path.",6.5,4.2028
Kabhi Khushi Kabhie Gham,14-12-2001,Hindi,Amitabh Bachchan,Kajol,Babloo Chakravorty,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",7.7,4.2578
Monsoon Wedding,30-08-2001,Hindi,Naseeruddin Shah,Lillete Dubey,Mychael Danna,"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality.",6.8,2.4557
