Title,Release Date,Language,Hero,Heroine
Maisamma IPS,11-11-2007,Telugu,Raghu Babu,Mumaith Khan
Hello Premistara,14-09-2007,Telugu,Sairam Shankar,Sheela Kaur
Godava,04-04-2007,Telugu,Vaibhav,Shraddha Arya
Bhayam,24-04-2007,Telugu,,
Highway,01-01-2007,Telugu,Sai Kumar,Abhinaya Sri
Jalsa,02-04-2008,Telugu,Pawan Kalyan,Ileana D'Cruz
Pandurangadu,30-05-2008,Telugu,Nandamuri Balakrishna,Sneha
Deepavali,01-01-2008,Telugu,Venu Thottempudi,Aarthi Agarwal
Bujjigaadu: Made in Chennai,23-05-2008,Telugu,Prabhas,Trisha Krishnan
Kathanayakudu,01-08-2008,Telugu,Jagapati Babu,Meena
Ready,19-06-2008,Telugu,Ram Pothineni,Genelia D'Souza
Gamyam,29-02-2008,Telugu,Allari Naresh,Kamalinee Mukherjee
Krishna,12-01-2008,Telugu,Ravi Teja,Trisha Krishnan
Chintakayala Ravi,02-10-2008,Telugu,Venkatesh,Anushka Shetty
Kantri,09-05-2008,Telugu,N.T. Rama Rao Jr.,Hansika Motwani
Neninthe,18-12-2008,Telugu,Ravi Teja,Siya Gautham
Parugu,01-05-2008,Telugu,Allu Arjun,Sheela Kaur
King,25-12-2008,Telugu,Nagarjuna Akkineni,Trisha Krishnan
Blade Babji,10-12-2008,Telugu,Allari Naresh,Hema
Avakai Biryani,14-11-2008,Telugu,Kamal Kamaraju,Bindu Madhavi
Hero,24-10-2008,Telugu,Nithiin,Bhavana
Raksha,19-09-2008,Telugu,Jagapati Babu,Kaveri
Ashta Chamma,05-09-2008,Telugu,Nani,Swathi Reddy
Ullasanga Utsahanga,18-07-2008,Telugu,Chandramohan,Sneha Ullal
Kotha Bangaru Lokam,09-10-2008,Telugu,Varun Sandesh,Shweta Basu Prasad
Idhi Sangathi,22-02-2008,Telugu,Abbas,Tabu
Swagatam,25-01-2008,Telugu,Jagapati Babu,Anushka Shetty
Vaana,15-01-2008,Telugu,Vinay Rai,Meera Chopra
Nachavule,19-12-2008,Telugu,Tanish Alladi,Madhavi Latha
Ontari,14-02-2008,Telugu,Gopichand,Bhavana
